,B01001_002E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03003_002E,B03003_003E,B05002_002E,B05002_003E,B05002_004E,B05002_009E,B05002_013E,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B07001_017E,B07001_033E,B07001_049E,B07001_065E,B07001_081E,B08101_001E,B08101_025E,B08101_033E,B08101_049E,B14001_002E,B14001_008E,B14001_009E,B15002_001E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,B17001_002E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19013_001E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B21001_002E,B21001_003E,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B24020_001E,B24020_112E,B24020_131E,B24020_263E,B24020_282E,B25001_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E,B25027_001E,B25027_002E,B25027_010E,B25063_001E,B25064_001E,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,B25088_001E,year
AL-01,338130,21512,27052,16930,10180,4320,5079,11654,20852,20931,20186,23156,24382,24172,22752,8951,9569,5408,9400,11467,6682,6132,3766,351705,21700,23137,14145,9563,4169,5184,11751,22397,20545,22546,21968,25678,26860,23564,8527,12881,6849,9923,13555,10599,8434,6668,689835,464769,194656,8000,9816,53,4551,7990,670441,19394,667539,461508,200565,5466,22296,458800,77687,150659,131777,67941,30736,577196,66889,16022,17950,2494,274628,1148,4038,10361,175653,34312,5365,458800,31840,8451,3554,2256,36101,14276,1356,843,129003,254440,30220,16858,16717,16952,15817,14622,12686,11749,12844,23158,24364,23249,12298,8028,8199,6679,41172,8233,23586,41310,63998,143402,245744,62812,456451,,,,,,,,197205,20463,29262,580,4259,324851,254440,70411,254440,177227,77213,177227,107184,70043,77213,709,177227,4346,2466,2887,3282,2922,3079,2124,5136,5492,5795,7872,8760,9540,17072,17830,19407,13489,15305,10185,8840,4604,4470,916,1408,825,2010
AL-02,319635,22529,22712,12398,9150,4750,4981,13805,20685,19652,21297,23305,22751,22323,20526,8581,10220,6054,7442,9674,7720,4226,3267,347144,23927,20913,13556,8896,4905,5318,15785,20832,22771,22551,21961,23769,23771,23657,7873,11286,7590,8767,12527,10241,7367,7832,666779,431666,206236,2713,5874,179,5838,14273,648192,18587,650511,469709,174924,5878,16268,440518,79413,144872,127846,53603,34784,542509,66680,30005,18620,2036,281371,625,2853,6279,170261,38489,7035,440518,26718,10924,3088,1992,26885,15320,2017,1443,119654,255551,25395,21849,17368,17402,14863,14809,13725,15744,10139,21313,24783,25459,16804,7404,4778,3716,40567,9213,23389,40557,63931,127730,204303,63606,438514,,,,,,,,199705,25298,22894,1189,8130,301606,255551,46055,255551,173497,82054,173497,102702,70795,82054,659,173497,5912,4577,3110,2499,3890,3294,2290,5965,9435,9319,9316,9645,9931,16924,15929,16791,9319,13565,8833,7404,2385,1336,889,939,715,2010
AL-03,333558,18639,24614,14315,14904,5765,7055,15468,21609,19506,21470,19700,25136,22258,23130,7626,10548,6521,8183,9865,6602,4549,3392,356523,21791,22686,13558,14080,8129,7360,13346,22713,19530,22670,24168,23011,24731,22528,9599,12009,7497,9462,10900,10977,6836,6889,690081,445480,221144,1187,8472,122,7118,6558,669055,21026,667392,453002,207555,6835,22689,443615,91126,143273,121065,52679,35472,558645,66024,31078,23810,3233,262388,1390,4854,6459,194574,58980,9058,443615,24457,9021,2966,3651,28222,16711,1407,1716,159491,263653,34651,25188,19242,16827,17533,17263,13905,14204,10872,16908,21490,24328,13677,7095,6680,3790,35452,7530,20011,35629,59089,124461,196940,57452,469319,,,,,,,,180855,17170,24718,1089,7698,318023,263653,54370,263653,176062,87591,176062,101198,74864,87591,640,176062,7272,4655,4876,2891,3187,4178,2542,6585,7324,8610,11365,9602,8123,17010,14552,13556,9058,12942,8486,9597,3635,3456,740,1820,715,2010
AL-04,325832,21657,22544,16491,9618,4840,4770,9551,18995,17997,20689,23283,24207,23871,19841,9007,11706,7097,8253,11925,8633,6032,3008,333320,21652,21937,11316,8314,3880,4754,9727,19319,18364,20584,22481,24153,24028,22046,9266,13106,5899,11509,14781,11118,7852,8181,659152,600810,34217,4352,2385,22,7120,10246,617646,41506,633043,494013,136380,2650,26109,447231,103990,153978,135003,35033,19227,558679,60509,23898,8612,253,246877,267,1573,7048,148945,26676,2605,447231,16907,5234,1961,973,18126,9227,1631,201,129262,249062,25673,18929,21348,20955,16158,15709,16514,15541,12226,19000,21981,20625,11889,4997,4495,3022,36715,9261,22086,36435,56113,120890,207021,52831,448956,,,,,,,,170681,20652,31870,1171,9931,298854,249062,49792,249062,187460,61602,187460,101361,86099,61602,573,187460,5909,3857,4234,5209,4191,4299,4843,10450,11553,10721,12514,13079,8469,18208,16052,14833,7996,12532,7008,6420,1242,1720,687,1434,598,2010
AL-05,352870,25380,23520,14886,10809,4933,5435,14213,22335,22130,23164,24178,27803,26547,20704,10122,11808,6873,9102,10381,8409,4275,2888,367036,23945,21976,14526,10171,6288,5691,12764,22390,22335,22881,26200,28050,27052,23434,8956,12826,6938,8810,14193,10709,6949,8070,719906,552254,126927,8925,10577,230,6705,14288,686608,33298,688897,449306,232458,7133,31009,480512,77041,131734,142576,79791,49370,615817,56614,21398,14237,2551,312985,995,4505,8951,192346,48077,10236,480512,39109,18165,4937,3196,40682,19512,2539,1021,107259,280180,26707,16643,16919,17747,16464,15357,14421,13308,12363,22715,27150,29610,20976,10960,10052,8788,45856,9898,26684,45838,73615,157201,265284,65324,482524,,,,,,,,221002,21123,24272,869,8253,319162,280180,38982,280180,202635,77545,202635,130028,72607,77545,628,202635,4323,2093,2698,2921,1561,2322,2117,4725,5642,12292,9918,11895,11276,20852,15786,19138,13488,21792,12114,13532,5005,4803,1255,1087,783,2010
AL-06,362235,25741,24341,16366,9212,5298,4255,12074,25381,25359,25905,25491,27333,26630,24178,7181,11890,6128,7894,9969,7923,5567,3644,385344,24374,24335,14379,10527,4042,4967,14487,25455,26999,25139,24912,28570,27688,29145,8711,10466,6164,9436,14110,9511,9075,8026,747579,620042,89301,1634,12775,0,15165,8662,714442,33137,710909,522377,183990,4542,36670,503880,60896,132778,141349,108354,60503,643558,55347,26582,12888,1607,342237,136,2505,12892,188954,33413,10419,503880,52881,16034,8435,4863,55473,22789,5192,3190,77672,283719,17066,14578,13303,15485,11993,15748,16443,13806,10761,22337,29704,38129,22983,13051,17341,10991,55559,13300,33516,55402,85574,181673,313449,56430,511613,,,,,,,,249318,22058,18923,257,4134,323767,283719,40048,283719,218826,64893,218826,152303,66523,64893,834,218826,2923,2580,2606,2263,2337,2600,1254,3740,5314,5179,5151,7318,4823,17928,19820,23404,17184,27228,20849,20817,8486,8531,3342,3149,1073,2010
AL-07,289983,18940,20110,13204,11720,5255,7063,17615,19307,18887,16794,16938,18735,20236,17274,6760,9486,4475,5566,8090,5421,4035,2935,321983,17871,18583,13171,11692,7135,7645,14007,23963,20414,17609,19868,21932,23350,20537,8476,11020,3883,6292,10775,9973,7056,6878,611966,209255,390499,957,2890,0,5196,3169,596119,15847,598411,499232,96509,2670,13555,386965,74723,130911,116129,42462,22740,490751,82612,16807,12606,992,231283,3403,5525,3792,167729,46013,7766,386965,18216,6177,1590,1245,24246,10633,1429,1666,165949,228547,36541,21137,19767,18147,14636,15026,12855,11103,11599,16406,16667,16309,9422,4324,2780,1828,31047,6543,17599,31023,50059,107293,173311,42659,426121,,,,,,,,163868,16725,25668,1940,5760,288165,228547,59618,228547,137139,91408,137139,79632,57507,91408,667,137139,4185,3678,3125,1670,3612,3049,2449,6833,9618,9016,10073,7930,8468,15036,11498,11739,6644,8460,4727,3653,645,647,127,257,729,2010
AK-00,372436,26347,28085,16477,10063,6832,7412,15550,30013,25464,21477,27685,28983,28169,28150,7261,11532,5866,5382,6125,4101,2602,1454,341549,23523,24287,16084,8986,5710,4842,15628,24826,23387,19992,24306,27304,27773,22339,7972,10605,4340,4790,7694,4477,3890,2618,713985,481446,24711,104539,39118,7638,6496,50037,673280,40705,664666,278256,370753,15657,49319,450577,40376,114055,170323,83346,42477,565031,76301,19577,36326,5739,343424,4034,27069,18805,193373,39491,10214,450577,38997,15136,4592,2881,44349,15561,2741,1566,69279,254610,10654,11818,9425,11304,11373,11395,10074,11366,9740,20540,28076,33925,27201,18645,16204,12870,64576,16104,39894,64881,98871,186701,297729,71399,436040,,,,,,,,211404,21980,18692,752,3353,307065,254610,52455,254610,162785,91825,162785,112659,50126,91825,981,162785,1019,1107,1285,1569,1116,907,1171,1519,1338,1225,2386,1905,1525,8724,8067,13011,10943,27241,25364,30311,9459,8787,1836,970,1363,2010
AZ-01,402180,26266,26972,17146,13836,6929,7538,15488,25806,24598,23427,25226,25738,26360,26334,10688,13774,7553,11064,17434,10534,5943,5814,379428,25765,25768,16784,11636,6677,5081,12912,21147,20455,22497,17098,23865,27230,26068,10936,16147,10159,13056,14324,11783,8354,7767,781608,550086,14066,150414,7005,1725,40961,17351,626606,155002,729356,376440,346651,6265,52252,511179,84770,142844,185829,60928,36808,627840,75250,38711,24120,5252,262326,1614,11399,15687,196673,44832,6862,511179,31185,10431,2614,4245,29743,15396,2179,1943,162528,266927,28215,20312,14655,19577,16762,15203,15600,16754,14019,23109,26143,28103,12936,6451,5703,3385,40854,8934,24310,40714,61841,119738,189361,74201,516649,,,,,,,,164299,19717,13578,600,2208,372282,266927,105355,266927,186148,80779,186148,102895,83253,80779,757,186148,7334,4100,2075,2817,3047,2624,2233,3618,10737,3580,8547,8679,4133,14811,13168,15918,12281,21001,12692,13854,7660,7861,1592,1786,702,2010
AZ-02,482096,33972,35722,21114,9386,5177,4999,17766,30593,27782,32039,29479,29141,29686,28782,11141,16854,10274,13958,22147,15525,12810,8127,502729,35591,30067,18145,11540,5744,4561,16760,32235,29012,32552,29187,27823,32701,34018,12627,16622,12453,17161,21151,16490,16001,14506,984825,847333,31846,25088,21821,148,32945,25644,765459,219366,895047,323639,560748,10660,89778,662877,76140,185782,258778,92892,49285,803132,120268,8995,35422,4251,383961,2976,5329,18385,248890,56578,9020,662877,48148,17692,4865,2332,44744,19437,3332,1627,125220,366481,18561,20012,20320,20843,23664,23736,22250,23333,16390,35010,42133,45604,25106,13766,9875,5878,47963,13665,31067,48040,71502,133119,204039,106489,628731,,,,,,,,269243,26622,23597,409,4682,444722,366481,78241,366481,262654,103827,262654,182871,79783,103827,952,262654,2393,2470,1591,1579,1122,2319,1212,3539,5491,5917,8215,10801,12397,32826,30210,30725,20908,34850,19643,19389,7606,4689,1777,985,1080,2010
