,Unnamed: 0,yr_district_id,winner_votes,totalvotes,year,state,winner,winner_party,writein,district_id,winner_voteshare,dem_votes,dem_candidate,rep_votes,rep_candidate,dem_voteshare,rep_voteshare,L1_winner,L2_winner,L3_winner,L4_winner,L5_winner,dL1_winner,L6_winner,L7_winner,L8_winner,L9_winner,L10_winner,incumbent_in_race,incumbent_party,dL2_winner,dL3_winner,dL4_winner,dL5_winner,dL6_winner,dL7_winner,dL8_winner,dL9_winner,dL10_winner,incumbent_L5_races,incumbent_L4_races,incumbent_L3_races,incumbent_L2_races,incumbent_L10_races,rep_wins,dem_wins,rep_L5_wins,rep_L10_wins,dem_L10_wins,dem_L5_wins,rep_L4_wins,rep_L3_wins,rep_L2_wins,rep_L1_wins,dem_L4_wins,dem_L3_wins,dem_L2_wins,dem_L1_wins,rep_L5_voteshare,rep_L10_voteshare,rep_L4_voteshare,rep_L3_voteshare,rep_L2_voteshare,rep_L1_voteshare,dem_L10_voteshare,dem_L5_voteshare,dem_L4_voteshare,dem_L3_voteshare,dem_L2_voteshare,dem_L1_voteshare,target
18,7813,2012-AK-00,185296,289804,2012,Alaska,DonYoung,republican,FALSE,AK-00,0.639383859,82927,Sharon M. Cissna,200324,Jim C. McDermott,0.286148569,0.691239596,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.639942693,0.646340791,0.616281751,0.627412653,0.690409151,0.689578705,0.337936873,0.342113464,0.362217624,0.347009621,0.295640782,0.305132994,0
19,8248,2014-AK-00,142572,279741,2014,Alaska,DonYoung,republican,FALSE,AK-00,0.509657147,114602,Forrest Dunbar,163862,Don Young,0.409671804,0.58576326,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.610178053,0.647993855,0.617000304,0.655527187,0.638501428,0.691239596,0.335949289,0.37170846,0.362675167,0.333651122,0.347910187,0.286148569,0
20,8683,2016-AK-00,155088,308198,2016,Alaska,DonYoung,republican,FALSE,AK-00,0.503208976,111019,Steve Lindbeck,186858,Don Young,0.360219729,0.606292059,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.614858655,0.649216129,0.643218405,0.627764972,0.59602766,0.58576326,0.333619957,0.362184079,0.340293274,0.352013367,0.384945767,0.409671804,0
21,9118,2018-AK-00,149779,282166,2018,Alaska,DonYoung,republican,FALSE,AK-00,0.530818738,131199,Alyse S. Galvin,149779,Don Young,0.464970975,0.530818738,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.620738472,0.639747174,0.603528413,0.574291352,0.568555399,0.606292059,0.342877915,0.365228814,0.380252769,0.411620836,0.412595352,0.360219729,0
40,7814,2012-AL-01,196374,200676,2012,Alabama,JoBonner,republican,FALSE,AL-01,0.978562459,0,0,196374,Jo Bonner,0,0.978562459,JoBonner,JoBonner,JoBonner,JoBonner,JoBonner,1,SonnyCallahan,SonnyCallahan,SonnyCallahan,SonnyCallahan,SonnyCallahan,1,republican,1,1,1,1,0,0,0,0,0,5,4,3,2,5,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.819875245,0.804445879,0.867036725,0.929036346,0.902200906,0.825839353,0.172897226,0.137268778,0.079549086,0,0,0,0
41,8249,2014-AL-01,103758,152234,2014,Alabama,BradleyByrne,republican,FALSE,AL-01,0.681569163,48278,Burton R. LeFlore,103758,Bradley Byrne,0.317130207,0.681569163,JoBonner,JoBonner,JoBonner,JoBonner,JoBonner,0,JoBonner,SonnyCallahan,SonnyCallahan,SonnyCallahan,SonnyCallahan,0,republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.829943213,0.805338037,0.86716955,0.828656992,0.830065811,0.978562459,0.171945891,0.12706531,0.079282552,0.105710069,0.158565104,0,0
42,8684,2016-AL-01,208083,215893,2016,Alabama,BradleyByrne,republican,FALSE,AL-01,0.963824672,0,0,208083,Bradley Byrne,0,0.963824672,BradleyByrne,JoBonner,JoBonner,JoBonner,JoBonner,1,JoBonner,JoBonner,SonnyCallahan,SonnyCallahan,SonnyCallahan,1,republican,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.886500575,0.835748847,0.862448912,0.874652098,0.822696917,0.681569163,0.138126879,0.063426041,0.079282552,0.105710069,0.158565104,0.317130207,0
43,9119,2018-AL-01,153228,242617,2018,Alabama,BradleyByrne,republican,FALSE,AL-01,0.631563328,89226,Robert Kennedy Jr.,153228,Bradley Byrne,0.367764831,0.631563328,BradleyByrne,BradleyByrne,JoBonner,JoBonner,JoBonner,1,JoBonner,JoBonner,JoBonner,SonnyCallahan,SonnyCallahan,1,republican,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.816271795,0.799514528,0.813879905,0.758985721,0.797694,0.963824672,0.174903362,0.136979008,0.17122376,0.228298346,0.183882416,0,0
62,7815,2012-AL-02,180591,283953,2012,Alabama,MarthaRoby,republican,FALSE,AL-02,0.635989055,103092,Therese Ford,180591,Martha Roby,0.363060084,0.635989055,MarthaRoby,BobbyBright,TerryEverett,TerryEverett,TerryEverett,1,TerryEverett,TerryEverett,TerryEverett,TerryEverett,TerryEverett,1,republican,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,4,9,1,1,3,2,2,1,1,1,0,0,0.610154568,0.652743122,0.584140939,0.547274932,0.572859202,0.50972935,0.345410327,0.388442637,0.414407043,0.451100171,0.42548287,0.487905656,0
63,8250,2014-AL-02,113103,167952,2014,Alabama,MarthaRoby,republican,FALSE,AL-02,0.67342455,54692,Erick Wright,113103,Martha Roby,0.325640659,0.67342455,MarthaRoby,MarthaRoby,BobbyBright,TerryEverett,TerryEverett,1,TerryEverett,TerryEverett,TerryEverett,TerryEverett,TerryEverett,1,republican,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,4,9,1,1,3,3,2,1,1,0,0,0,0.601997661,0.646530354,0.578812336,0.606380985,0.654706802,0.635989055,0.351561529,0.396653766,0.419735293,0.392202133,0.344350372,0.363060084,0
