Unnamed: 0,yr_district_id,winner_votes,totalvotes,year,state,winner,winner_party,writein,district_id,winner_voteshare,total_dem_votes,total_rep_votes,total_dem_vote_share,total_rep_vote_share,L1_winner,L2_winner,L3_winner,L4_winner,L5_winner,dL1_winner,dL2_winner,dL3_winner,dL4_winner,dL5_winner,incumbent_party,incumbent_L5_races,incumbent_L4_races,incumbent_L3_races,incumbent_L2_races,rep_L1_wins,rep_L5_wins,rep_L4_wins,rep_L3_wins,rep_L2_wins,dem_L1_wins,dem_L5_wins,dem_L4_wins,dem_L3_wins,dem_L2_wins,rep_L1_voteshare,rep_L5_voteshare,rep_L4_voteshare,rep_L3_voteshare,rep_L2_voteshare,dem_L1_voteshare,dem_L5_voteshare,dem_L4_voteshare,dem_L3_voteshare,dem_L2_voteshare,target,top_dem_votes,top_dem_candidate,top_rep_votes,top_rep_candidate,dem_incumbent_in_race,rep_incumbent_in_race
7813,2012-AK-00,185296,289804,2012,Alaska,DonYoung,republican,FALSE,AK-00,0.639383859,82927,200324,0.286148569,0.691239596,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.689578705,0.654055735,0.627118467,0.591295802,0.595499181,0.305132994,0.332126697,0.356104688,0.387573976,0.377440148,0,82927,SharonMCissna,185296,DonYoung,0,1
8248,2014-AK-00,142572,279741,2014,Alaska,DonYoung,republican,FALSE,AK-00,0.509657147,114602,163862,0.409671804,0.58576326,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.691239596,0.639942693,0.616281751,0.627412653,0.690409151,0.286148569,0.342113464,0.362217624,0.347009621,0.295640782,0,114602,ForrestDunbar,142572,DonYoung,0,1
8683,2016-AK-00,155088,308198,2016,Alaska,DonYoung,republican,FALSE,AK-00,0.503208976,111019,186858,0.360219729,0.606292059,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.58576326,0.610178053,0.617000304,0.655527187,0.638501428,0.409671804,0.37170846,0.362675167,0.333651122,0.347910187,0,111019,SteveLindbeck,155088,DonYoung,0,1
9118,2018-AK-00,149779,282166,2018,Alaska,DonYoung,republican,FALSE,AK-00,0.530818738,131199,149779,0.464970975,0.530818738,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.606292059,0.614858655,0.643218405,0.627764972,0.59602766,0.360219729,0.362184079,0.340293274,0.352013367,0.384945767,0,131199,AlyseSGalvin,149779,DonYoung,0,1
7814,2012-AL-01,196374,200676,2012,Alabama,JoBonner,republican,FALSE,AL-01,0.978562459,0,196374,0,0.978562459,JoBonner,JoBonner,JoBonner,JoBonner,JoBonner,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.825839353,0.748468383,0.780203442,0.82986148,0.90427329,0,0.212827716,0.171585972,0.106065448,0,0,,None,196374,JoBonner,0,1
8249,2014-AL-01,103758,152234,2014,Alabama,BradleyByrne,republican,FALSE,AL-01,0.681569163,48278,103758,0.317130207,0.681569163,JoBonner,JoBonner,JoBonner,JoBonner,JoBonner,0,0,0,0,0,republican,0,0,0,0,1,5,4,3,2,0,0,0,0,0,0.978562459,0.819875245,0.867036725,0.929036346,0.902200906,0,0.137268778,0.079549086,0,0,0,48278,BurtonRLeFlore,103758,BradleyByrne,0,0
8684,2016-AL-01,208083,215893,2016,Alabama,BradleyByrne,republican,FALSE,AL-01,0.963824672,0,208083,0,0.963824672,BradleyByrne,JoBonner,JoBonner,JoBonner,JoBonner,1,0,0,0,0,republican,1,1,1,1,1,5,4,3,2,0,0,0,0,0,0.681569163,0.829943213,0.86716955,0.828656992,0.830065811,0.317130207,0.12706531,0.079282552,0.105710069,0.158565104,0,,None,208083,BradleyByrne,0,1
9119,2018-AL-01,153228,242617,2018,Alabama,BradleyByrne,republican,FALSE,AL-01,0.631563328,89226,153228,0.367764831,0.631563328,BradleyByrne,BradleyByrne,JoBonner,JoBonner,JoBonner,1,1,0,0,0,republican,2,2,2,2,1,5,4,3,2,0,0,0,0,0,0.963824672,0.886500575,0.862448912,0.874652098,0.822696917,0,0.063426041,0.079282552,0.105710069,0.158565104,0,89226,RobertKennedyJr,153228,BradleyByrne,0,1
7815,2012-AL-02,180591,283953,2012,Alabama,MarthaRoby,republican,FALSE,AL-02,0.635989055,103092,180591,0.363060084,0.635989055,MarthaRoby,BobbyBright,TerryEverett,TerryEverett,TerryEverett,1,0,0,0,0,republican,1,1,1,1,1,4,3,2,1,0,1,1,1,1,0.50972935,0.623601026,0.603695946,0.566858234,0.50291787,0.487905656,0.374878847,0.394788275,0.431522696,0.495120215,0,103092,ThereseFord,180591,MarthaRoby,0,1
8250,2014-AL-02,113103,167952,2014,Alabama,MarthaRoby,republican,FALSE,AL-02,0.67342455,54692,113103,0.325640659,0.67342455,MarthaRoby,MarthaRoby,BobbyBright,TerryEverett,TerryEverett,1,1,0,0,0,republican,2,2,2,2,1,4,3,2,2,0,1,1,1,0,0.635989055,0.610154568,0.584140939,0.547274932,0.572859202,0.363060084,0.388442637,0.414407043,0.451100171,0.42548287,0,54692,ErickWright,113103,MarthaRoby,0,1
