Unnamed: 0,yr_district_id,winner_votes,totalvotes,year,state,winner,winner_party,writein,district_id,winner_voteshare,total_dem_votes,total_rep_votes,total_dem_vote_share,total_rep_vote_share,L1_winner,L2_winner,L3_winner,L4_winner,L5_winner,dL1_winner,dL2_winner,dL3_winner,dL4_winner,dL5_winner,incumbent_party,incumbent_L5_races,incumbent_L4_races,incumbent_L3_races,incumbent_L2_races,rep_L1_wins,rep_L5_wins,rep_L4_wins,rep_L3_wins,rep_L2_wins,dem_L1_wins,dem_L5_wins,dem_L4_wins,dem_L3_wins,dem_L2_wins,rep_L1_voteshare,rep_L5_voteshare,rep_L4_voteshare,rep_L3_voteshare,rep_L2_voteshare,dem_L1_voteshare,dem_L5_voteshare,dem_L4_voteshare,dem_L3_voteshare,dem_L2_voteshare,target,top_dem_votes,top_dem_candidate,top_rep_votes,top_rep_candidate,dem_incumbent_in_race,rep_incumbent_in_race,flipped,dmargin_45_55
7813,2012-AK-00,185296,289804,2012,Alaska,DonYoung,republican,False,AK-00,0.6393838589999999,82927,200324,0.28614856899999996,0.691239596,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.689578705,0.654055735,0.6271184670000001,0.591295802,0.595499181,0.305132994,0.33212669699999997,0.35610468799999995,0.38757397600000004,0.377440148,0,82927.0,SharonMCissna,185296.0,DonYoung,0,1,0,0
8248,2014-AK-00,142572,279741,2014,Alaska,DonYoung,republican,False,AK-00,0.509657147,114602,163862,0.409671804,0.58576326,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.691239596,0.639942693,0.616281751,0.6274126529999999,0.6904091509999999,0.28614856899999996,0.342113464,0.36221762399999996,0.347009621,0.295640782,0,114602.0,ForrestDunbar,142572.0,DonYoung,0,1,0,1
8683,2016-AK-00,155088,308198,2016,Alaska,DonYoung,republican,False,AK-00,0.503208976,111019,186858,0.360219729,0.6062920589999999,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.58576326,0.6101780529999999,0.6170003039999999,0.655527187,0.638501428,0.409671804,0.37170846,0.362675167,0.33365112199999997,0.34791018700000004,0,111019.0,SteveLindbeck,155088.0,DonYoung,0,1,0,1
9118,2018-AK-00,149779,282166,2018,Alaska,DonYoung,republican,False,AK-00,0.530818738,131199,149779,0.464970975,0.530818738,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.6062920589999999,0.614858655,0.643218405,0.627764972,0.59602766,0.360219729,0.362184079,0.340293274,0.352013367,0.38494576700000005,0,131199.0,AlyseSGalvin,149779.0,DonYoung,0,1,0,1
7814,2012-AL-01,196374,200676,2012,Alabama,JoBonner,republican,False,AL-01,0.978562459,0,196374,0.0,0.978562459,JoBonner,JoBonner,JoBonner,JoBonner,JoBonner,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.825839353,0.748468383,0.780203442,0.82986148,0.90427329,0.0,0.21282771600000003,0.171585972,0.106065448,0.0,0,,None,196374.0,JoBonner,0,1,0,0
8249,2014-AL-01,103758,152234,2014,Alabama,BradleyByrne,republican,False,AL-01,0.6815691629999999,48278,103758,0.317130207,0.6815691629999999,JoBonner,JoBonner,JoBonner,JoBonner,JoBonner,0,0,0,0,0,republican,0,0,0,0,1,5,4,3,2,0,0,0,0,0,0.978562459,0.819875245,0.867036725,0.929036346,0.9022009059999999,0.0,0.137268778,0.07954908599999999,0.0,0.0,0,48278.0,BurtonRLeFlore,103758.0,BradleyByrne,0,0,0,0
8684,2016-AL-01,208083,215893,2016,Alabama,BradleyByrne,republican,False,AL-01,0.963824672,0,208083,0.0,0.963824672,BradleyByrne,JoBonner,JoBonner,JoBonner,JoBonner,1,0,0,0,0,republican,1,1,1,1,1,5,4,3,2,0,0,0,0,0,0.6815691629999999,0.829943213,0.86716955,0.828656992,0.830065811,0.317130207,0.12706531,0.079282552,0.105710069,0.158565104,0,,None,208083.0,BradleyByrne,0,1,0,0
9119,2018-AL-01,153228,242617,2018,Alabama,BradleyByrne,republican,False,AL-01,0.6315633279999999,89226,153228,0.367764831,0.6315633279999999,BradleyByrne,BradleyByrne,JoBonner,JoBonner,JoBonner,1,1,0,0,0,republican,2,2,2,2,1,5,4,3,2,0,0,0,0,0,0.963824672,0.886500575,0.8624489120000001,0.874652098,0.822696917,0.0,0.063426041,0.079282552,0.105710069,0.158565104,0,89226.0,RobertKennedyJr,153228.0,BradleyByrne,0,1,0,0
7815,2012-AL-02,180591,283953,2012,Alabama,MarthaRoby,republican,False,AL-02,0.635989055,103092,180591,0.363060084,0.635989055,MarthaRoby,BobbyBright,TerryEverett,TerryEverett,TerryEverett,1,0,0,0,0,republican,1,1,1,1,1,4,3,2,1,0,1,1,1,1,0.50972935,0.623601026,0.603695946,0.566858234,0.50291787,0.487905656,0.374878847,0.394788275,0.43152269600000004,0.495120215,0,103092.0,ThereseFord,180591.0,MarthaRoby,0,1,0,0
8250,2014-AL-02,113103,167952,2014,Alabama,MarthaRoby,republican,False,AL-02,0.67342455,54692,113103,0.325640659,0.67342455,MarthaRoby,MarthaRoby,BobbyBright,TerryEverett,TerryEverett,1,1,0,0,0,republican,2,2,2,2,1,4,3,2,2,0,1,1,1,0,0.635989055,0.610154568,0.584140939,0.547274932,0.5728592020000001,0.363060084,0.38844263700000004,0.414407043,0.451100171,0.42548287,0,54692.0,ErickWright,113103.0,MarthaRoby,0,1,0,0
