,yr_district_id,winner_votes,totalvotes,year,state,winner,winner_party,writein,district_id,winner_voteshare,total_dem_votes,total_rep_votes,total_dem_vote_share,total_rep_vote_share
0,1976-AK-00,83722,118208,1976,Alaska,Don Young,republican,FALSE,AK-00,0.708260016,34194,83722,0.289269762,0.708260016
435,1978-AK-00,68811,124187,1978,Alaska,Don Young,republican,FALSE,AK-00,0.554091813,55176,68811,0.444297712,0.554091813
870,1980-AK-00,114089,154618,1980,Alaska,Don Young,republican,FALSE,AK-00,0.737876573,39922,114089,0.258197623,0.737876573
1305,1982-AK-00,128274,181084,1982,Alaska,Don Young,republican,FALSE,AK-00,0.708367388,52011,128274,0.287220296,0.708367388
1740,1984-AK-00,113582,206437,1984,Alaska,Don Young,republican,FALSE,AK-00,0.550201756,86052,113582,0.41684388,0.550201756
2175,1986-AK-00,101799,180277,1986,Alaska,Don Young,republican,FALSE,AK-00,0.564681019,74053,105981,0.410773421,0.587878653
2610,1988-AK-00,120595,192955,1988,Alaska,Don Young,republican,FALSE,AK-00,0.624990283,71881,120595,0.372527273,0.624990283
3045,1990-AK-00,99003,191647,1990,Alaska,Don Young,republican,FALSE,AK-00,0.516590398,91677,99003,0.478363867,0.516590398
3480,1992-AK-00,111849,239116,1992,Alaska,Don Young,republican,FALSE,AK-00,0.467760418,111907,111849,0.468002978,0.467760418
3915,1994-AK-00,118537,208240,1994,Alaska,Don Young,republican,FALSE,AK-00,0.569232616,89449,118537,0.429547637,0.569232616
4350,1996-AK-00,138834,233700,1996,Alaska,Don Young,republican,FALSE,AK-00,0.59406932,89627,138834,0.383513051,0.59406932
4772,1998-AK-00,139676,223300,1998,Alaska,Don Young,republican,FALSE,AK-00,0.625508285,83155,139676,0.372391402,0.625508285
5207,2000-AK-00,190862,274393,2000,Alaska,Don Young,republican,FALSE,AK-00,0.695578969,67812,195664,0.247134584,0.713079415
5642,2002-AK-00,169685,227725,2002,Alaska,Don Young,republican,FALSE,AK-00,0.745131189,53792,173482,0.236214733,0.761804808
6077,2004-AK-00,213216,299996,2004,Alaska,Don Young,republican,FALSE,AK-00,0.710729476,78508,220373,0.261696823,0.734586461
6512,2006-AK-00,132743,234645,2006,Alaska,Don Young,republican,FALSE,AK-00,0.565718426,95698,136772,0.407841633,0.582889045
6943,2008-AK-00,158939,316978,2008,Alaska,Don Young,republican,FALSE,AK-00,0.501419657,142560,158939,0.449747301,0.501419657
7378,2010-AK-00,175384,254335,2010,Alaska,Don Young,republican,FALSE,AK-00,0.689578705,77606,175384,0.305132994,0.689578705
7813,2012-AK-00,185296,289804,2012,Alaska,Don Young,republican,FALSE,AK-00,0.639383859,82927,200324,0.286148569,0.691239596
8248,2014-AK-00,142572,279741,2014,Alaska,Don Young,republican,FALSE,AK-00,0.509657147,114602,163862,0.409671804,0.58576326
8683,2016-AK-00,155088,308198,2016,Alaska,Don Young,republican,FALSE,AK-00,0.503208976,111019,186858,0.360219729,0.606292059
9118,2018-AK-00,149779,282166,2018,Alaska,Don Young,republican,FALSE,AK-00,0.530818738,131199,149779,0.464970975,0.530818738
