yr_district_id,winner_votes,totalvotes,year,state,winner,winner_party,writein,district_id,winner_voteshare,total_dem_votes,total_rep_votes,total_dem_vote_share,total_rep_vote_share,L1_winner,L2_winner,L3_winner,L4_winner,L5_winner,dL1_winner,L6_winner,L7_winner,L8_winner,L9_winner,L10_winner,incumbent_in_race,incumbent_party,dL2_winner,dL3_winner,dL4_winner,dL5_winner,dL6_winner,dL7_winner,dL8_winner,dL9_winner,dL10_winner,incumbent_L5_races,incumbent_L4_races,incumbent_L3_races,incumbent_L2_races,incumbent_L10_races,rep_wins,dem_wins,rep_L5_wins,rep_L10_wins,dem_L10_wins,dem_L5_wins,rep_L4_wins,rep_L3_wins,rep_L2_wins,rep_L1_wins,dem_L4_wins,dem_L3_wins,dem_L2_wins,dem_L1_wins,rep_L5_voteshare,rep_L10_voteshare,rep_L4_voteshare,rep_L3_voteshare,rep_L2_voteshare,rep_L1_voteshare,dem_L10_voteshare,dem_L5_voteshare,dem_L4_voteshare,dem_L3_voteshare,dem_L2_voteshare,dem_L1_voteshare,target,top_dem_votes,top_dem_candidate,top_rep_votes,top_rep_candidate,dem_incumbent_in_race,rep_incumbent_in_race
2012-AK-00,185296,289804,2012,Alaska,DonYoung,republican,False,AK-00,0.6393838589999999,82927,200324,0.28614856899999996,0.691239596,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.639942693,0.646340791,0.616281751,0.6274126529999999,0.6904091509999999,0.689578705,0.33793687299999997,0.342113464,0.36221762399999996,0.347009621,0.295640782,0.305132994,0,82927.0,SharonMCissna,185296.0,DonYoung,0,1
2014-AK-00,142572,279741,2014,Alaska,DonYoung,republican,False,AK-00,0.509657147,114602,163862,0.409671804,0.58576326,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.6101780529999999,0.647993855,0.6170003039999999,0.655527187,0.638501428,0.691239596,0.335949289,0.37170846,0.362675167,0.33365112199999997,0.34791018700000004,0.28614856899999996,0,114602.0,ForrestDunbar,142572.0,DonYoung,0,1
2016-AK-00,155088,308198,2016,Alaska,DonYoung,republican,False,AK-00,0.503208976,111019,186858,0.360219729,0.6062920589999999,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.614858655,0.649216129,0.643218405,0.627764972,0.59602766,0.58576326,0.33361995699999997,0.362184079,0.340293274,0.352013367,0.38494576700000005,0.409671804,0,111019.0,SteveLindbeck,155088.0,DonYoung,0,1
2018-AK-00,149779,282166,2018,Alaska,DonYoung,republican,False,AK-00,0.530818738,131199,149779,0.464970975,0.530818738,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,DonYoung,DonYoung,DonYoung,DonYoung,DonYoung,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.620738472,0.639747174,0.6035284129999999,0.574291352,0.568555399,0.6062920589999999,0.342877915,0.365228814,0.380252769,0.411620836,0.412595352,0.360219729,0,131199.0,AlyseSGalvin,149779.0,DonYoung,0,1
2012-AL-01,196374,200676,2012,Alabama,JoBonner,republican,False,AL-01,0.978562459,0,196374,0.0,0.978562459,JoBonner,JoBonner,JoBonner,JoBonner,JoBonner,1,SonnyCallahan,SonnyCallahan,SonnyCallahan,SonnyCallahan,SonnyCallahan,1,republican,1,1,1,1,0,0,0,0,0,5,4,3,2,5,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.819875245,0.8044458790000001,0.867036725,0.929036346,0.9022009059999999,0.825839353,0.17289722600000001,0.137268778,0.07954908599999999,0.0,0.0,0.0,0,,None,196374.0,JoBonner,0,1
2014-AL-01,103758,152234,2014,Alabama,BradleyByrne,republican,False,AL-01,0.6815691629999999,48278,103758,0.317130207,0.6815691629999999,JoBonner,JoBonner,JoBonner,JoBonner,JoBonner,0,JoBonner,SonnyCallahan,SonnyCallahan,SonnyCallahan,SonnyCallahan,0,republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.829943213,0.8053380370000001,0.86716955,0.828656992,0.830065811,0.978562459,0.17194589100000002,0.12706531,0.079282552,0.105710069,0.158565104,0.0,0,48278.0,BurtonRLeFlore,103758.0,BradleyByrne,0,0
2016-AL-01,208083,215893,2016,Alabama,BradleyByrne,republican,False,AL-01,0.963824672,0,208083,0.0,0.963824672,BradleyByrne,JoBonner,JoBonner,JoBonner,JoBonner,1,JoBonner,JoBonner,SonnyCallahan,SonnyCallahan,SonnyCallahan,1,republican,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.886500575,0.8357488470000001,0.8624489120000001,0.874652098,0.822696917,0.6815691629999999,0.138126879,0.063426041,0.079282552,0.105710069,0.158565104,0.317130207,0,,None,208083.0,BradleyByrne,0,1
2018-AL-01,153228,242617,2018,Alabama,BradleyByrne,republican,False,AL-01,0.6315633279999999,89226,153228,0.367764831,0.6315633279999999,BradleyByrne,BradleyByrne,JoBonner,JoBonner,JoBonner,1,JoBonner,JoBonner,JoBonner,SonnyCallahan,SonnyCallahan,1,republican,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.816271795,0.799514528,0.813879905,0.758985721,0.797694,0.963824672,0.17490336199999998,0.136979008,0.17122376,0.228298346,0.18388241600000002,0.0,0,89226.0,RobertKennedyJr,153228.0,BradleyByrne,0,1
2012-AL-02,180591,283953,2012,Alabama,MarthaRoby,republican,False,AL-02,0.635989055,103092,180591,0.363060084,0.635989055,MarthaRoby,BobbyBright,TerryEverett,TerryEverett,TerryEverett,1,TerryEverett,TerryEverett,TerryEverett,TerryEverett,TerryEverett,1,republican,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,4,9,1,1,3,2,2,1,1,1,0,0,0.610154568,0.6527431220000001,0.584140939,0.547274932,0.5728592020000001,0.50972935,0.345410327,0.38844263700000004,0.414407043,0.451100171,0.42548287,0.487905656,0,103092.0,ThereseFord,180591.0,MarthaRoby,0,1
2014-AL-02,113103,167952,2014,Alabama,MarthaRoby,republican,False,AL-02,0.67342455,54692,113103,0.325640659,0.67342455,MarthaRoby,MarthaRoby,BobbyBright,TerryEverett,TerryEverett,1,TerryEverett,TerryEverett,TerryEverett,TerryEverett,TerryEverett,1,republican,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,4,9,1,1,3,3,2,1,1,0,0,0,0.601997661,0.646530354,0.578812336,0.606380985,0.654706802,0.635989055,0.351561529,0.396653766,0.41973529299999995,0.39220213299999995,0.344350372,0.363060084,0,54692.0,ErickWright,113103.0,MarthaRoby,0,1
